Burmester (DE) Achat;https://www.boats24.com/sailboat/sailing-yacht/burmester/437384/achat-mit-yamaha-motor.html;14444;1976; Germany;LikeNew
unbekannt Skärgårdskryssare – 44 fot;https://www.boats24.com/sailboat/classic-boat/unbekannt/490408/skaergardskryssare-44-fot-mit-volvo-motor.html;Price On Request;1980; Italy;LikeNew
Great Dane GREAT DANE 28;https://www.boats24.com/sailboat/classic-boat/great-dane/490740/great-dane-28-mit-betamarine-motor.html;17500;1971; Germany;WellMaintained
Naboats (FI) Inferno 29 mit neuem Strassentrai;https://www.boats24.com/sailboat/sailing-yacht/naboats/476729/inferno-29-mit-neuem-strassentrailer-mit-yanmar-1gm10-motor.html;34900;1990; Germany;WellMaintained
unbekannt Spitzgatter;https://www.boats24.com/sailboat/classic-boat/unbekannt/497040/spitzgatter-mit-beta-marine-motor.html;22500;1929; Germany;WellMaintained
Werftbau (DE) Delta 36;https://www.boats24.com/sailboat/sailing-yacht/werftbau/482469/delta-36-mit-volvo-md2b-25-ps-mit-zweikreiskuehlung-martec-motor.html;33500;1971; The Caribbean;WellMaintained
X-Yachts (DK) X-442 MK II;https://www.boats24.com/sailboat/sailing-yacht/x-yachts/496878/x-442-mk-ii-mit-yanma-motor.html;160000;2001; Italy;LikeNew
TES Yacht (PL) Tes 28 Magnam;https://www.boats24.com/sailboat/keelboat/tes-yacht/484060/tes-28-magnam-mit-beta-marine-motor.html;53000;2011; Poland;LikeNew
Bavaria 31 Cruiser;https://www.boats24.com/sailboat/sailing-yacht/bavaria/436118/31-cruiser-mit-volvo-penta-motor.html;58500;2008; Germany;WellMaintained
Jeanneau Sun Odyssey 50 DS;https://www.boats24.com/sailboat/sailing-yacht/jeanneau/490630/sun-odyssey-50-ds-mit-yanmar-motor.html;187000;2009; Croatia;WellMaintained
LATHAM & SONS, UK One-Off Classic;https://www.boats24.com/sailboat/classic-boat/latham-sons-uk/482967/one-off-classic-mit-volvo-penta-motor.html;15000;1967; Belgium;RepairsNeeded
Vindö (SE) Vindö 50 mix;https://www.boats24.com/sailboat/sailing-yacht/vindoe/446121/vindoe-50-mix-mit-sole-mitsubishi-motor.html;45000;1973; Germany;WellMaintained
Bavaria Cruiser 46;https://www.boats24.com/sailboat/sailing-yacht/bavaria/490564/cruiser-46-mit-volvo-penta-motor.html;190000;2017; The Caribbean;LikeNew
Mön (DK) Mön 27;https://www.boats24.com/sailboat/motor-sailer/moen/490535/moen-27-mit-bukh-diesel-motor.html;29000;1982; Germany;WellMaintained
Reinke (DE) Hydra;https://www.boats24.com/sailboat/sailing-yacht/reinke/496619/hydra-mit-om-314-motor.html;95000;1990; New Zealand;WellMaintained
Jantar (DE) Jantar 21;https://www.boats24.com/sailboat/sailing-yacht/jantar/496348/jantar-21-mit-motor.html;9800;1993; Germany;WellMaintained
Delphia Yachts (PL) Delphia 37;https://www.boats24.com/sailboat/sailing-yacht/delphia-yachts/95403/delphia-37-mit-volvo-penta-2013-d1-30-motor.html;48000;2007; Croatia;WellMaintained
Hanse Yachts 301;https://www.boats24.com/sailboat/sailing-yacht/hanse-yachts/452655/301-mit-volvo-penta-md2020-motor.html;19900;1998; Croatia;WellMaintained
Doggersbank 12.00;https://www.boats24.com/sailboat/motor-sailer/doggersbank/496187/12-00-mit-perkins-sabre-motor.html;69500;1969; Netherlands;WellMaintained
